Date;Open;High;Low;Close;Adj Close;Volume
22.02.2016;4548310059;4576470215;4546549805;4570609863;4570609863;1794020000
23.02.2016;4550049805;4558060059;4500939941;4503580078;4503580078;1777750000
24.02.2016;4453930176;4547640137;4425720215;4542609863;4542609863;1978180000
25.02.2016;4554729980;4582200195;4516890137;4582200195;4582200195;1667840000
26.02.2016;4615140137;4618850098;4580779785;4590470215;4590470215;1814920000
29.02.2016;4585299805;4619899902;4557459961;4557950195;4557950195;2065260000
1.03.2016;4596009766;4689600098;4581750000;4689600098;4689600098;2080150000
2.03.2016;4683799805;4703580078;4665930176;4703419922;4703419922;1912510000
3.03.2016;4698379883;4707720215;4674459961;4707419922;4707419922;1936290000
4.03.2016;4715759766;4746649902;4687939941;4717020020;4717020020;2171230000
7.03.2016;4690879883;4731189941;4674819824;4708250000;4708250000;2084390000
8.03.2016;4676220215;4695040039;4642859863;4648819824;4648819824;1993060000
9.03.2016;4666419922;4676470215;4642419922;4674379883;4674379883;1789550000
10.03.2016;4691200195;4716140137;4607990234;4662160156;4662160156;1936470000
11.03.2016;4712379883;4748790039;4700910156;4748470215;4748470215;1801790000
14.03.2016;4733390137;4762270020;4731509766;4750279785;4750279785;1615100000
15.03.2016;4731140137;4735270020;4712069824;4728669922;4728669922;1692420000
16.03.2016;4717879883;4774779785;4716450195;4763970215;4763970215;1781060000
17.03.2016;4752620117;4788089844;4737970215;4774990234;4774990234;1907190000
18.03.2016;4784629883;4804580078;4772410156;4795649902;4795649902;2829040000
21.03.2016;4787310059;4814850098;4785379883;4808870117;4808870117;1609230000
22.03.2016;4783600098;4835600098;4781709961;4821660156;4821660156;1596200000
23.03.2016;4813870117;4816669922;4765370117;4768859863;4768859863;1732630000
24.03.2016;4743359863;4773500000;4734770020;4773500000;4773500000;1590990000
28.03.2016;4785250000;4787390137;4760009766;4766790039;4766790039;1381000000
29.03.2016;4756549805;4849310059;4749779785;4846620117;4846620117;1806490000
30.03.2016;4875459961;4899140137;4859350098;4869290039;4869290039;1717820000
31.03.2016;4869569824;4891299805;4864410156;4869850098;4869850098;1774270000
1.04.2016;4842549805;4917089844;4832060059;4914540039;4914540039;1812250000
4.04.2016;4911209961;4917750000;4885169922;4891799805;4891799805;1705730000
5.04.2016;4855899902;4872700195;4838620117;4843930176;4843930176;1726010000
